bic,volume.group,volume
2158.955258,1,5
2158.955258,1,10
2158.955258,1,15
2158.955258,1,20
2158.955258,1,25
2158.955258,1,35
2158.955258,1,1000
1368.746548,2,5
1368.746548,2,10
1368.746548,2,15
1368.746548,2,20
1368.746548,2,25
1368.746548,2,35
458.8418525,2,1000
330.9286139,3,5
330.9286139,3,10
864.1170662,3,15
864.1170662,3,20
864.1170662,3,25
864.1170662,3,35
464.544279,3,1000
328.3938454,4,5
328.3938454,4,10
359.2370581,4,15
359.2370581,4,20
396.0905013,4,25
396.0905013,4,35
460.4718821,4,1000
328.3938454,5,5
328.3938454,5,10
605.9203845,5,15
605.9203845,5,20
605.9203845,5,25
235.5740023,5,35
460.4718821,5,1000
328.3938454,6,5
328.3938454,6,10
733.3991161,6,15
103.1397901,6,20
733.3991161,6,25
733.3991161,6,35
460.4718821,6,1000
99.90842589,7,5
239.8624675,7,10
209.7671173,7,15
103.6289213,7,20
166.6298909,7,25
238.4089893,7,35
457.449345,7,1000
